,To_AGEN,To_AMMC,To_CHAP,To_COAS,To_COLL,To_FVRH,To_GGMC,To_HBHO,To_HOAG,To_HSOU,To_IRVR,To_KAIA,To_KINB,To_KINW,To_LAMC,To_LPIH,To_MISS,To_OCMM,To_PLAC,To_SCLE,To_SCOA,To_SJOS,To_SJUD,To_SMMC,To_TUSH,To_UCIM,To_WAMC,To_WMCA,To_WMCS,To_ACNC,To_AGBP,To_ALAM,To_ALTA,To_ANHC,To_ATCC,To_BEAC,To_BGSJ,To_BGYL,To_BPNC,To_BVCC,To_CAPO,To_CARE,To_CMCH,To_CMLH,To_CMSA,To_COCT,To_COVI,To_CSNC,To_CVLH,To_CVPL,To_CVSB,To_EDNA,To_ELIZ,To_EVER,To_EXTW,To_FLAG,To_FOCC,To_FPCC,To_FREE,To_GGCH,To_GORD,To_GPCC,To_GREE,To_HELP,To_HVAL,To_HVCC,To_KINO,To_KNOT,To_LAKE,To_LEIS,To_LHAB,To_LPAL,To_MANO,To_MESA,To_NEWO,To_NNRC,To_NSUB,To_ORRH,To_PACI,To_PALM,To_PANA,To_PKVW,To_PREG,To_PSUP,To_PVIS,To_QUAK,To_RGNT,To_ROYL,To_SCRT,To_SEAC,To_SNMR,To_STAN,To_TERR,To_TOWN,To_VICT,To_VIVA,To_WAEC,To_WINA,To_WINF,To_WLNT
SCOA,1,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,13,1,0,3,1,2,1,28,2,8,0,7,3,0,0,0,0,1,0,0,42,0,1,0,75,3,0,0,0,0,51,0,5,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,2,1,3,0,2,0,0,8,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,2,0,0,0,0
SJOS,2,7,1,0,0,2,4,0,3,0,2,3,0,0,0,0,1,10,0,0,0,16,3,3,4,6,0,2,7,1,0,1,0,1,3,0,3,10,3,0,0,30,0,0,1,6,0,8,12,3,0,35,0,0,0,1,470,60,0,1,6,3,4,0,1,5,105,1,0,5,0,7,9,5,456,30.6247906198,1,7,9,12,0,6,0,2,0,6,4,5,12,2,0,0,0,444,0,23,1,0,1,4
SJUD,3,15,1,0,0,3,6,0,3,0,2,9,88,1,1,1,1,4,12,0,0,17,1,1,1,8,1,0,7,9,0,0,0,3,4,0,0,35,7,1,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,4,8,2,0,1,52,0,158,0,1,0,0,0,0,2,0,7,0,0,0,0,2,6,2,0,1,0,30,0,271,2,0,0,0,2,2,0,0,0,0,0,0,6,108,6
SMMC,1,0,0,1,1,2,0,0,7,0,10,7,0,32,0,0,13,2,0,1,1,2,0,0,3,12,0,1,0,0,0,0,1,0,0,0,19,0,1,2,33,64,0,0,3,0,48,11,752,11,0,10,0,0,0,3,3,9,186,0,0,0,0,0,0,0,0,0,195,1,0,4,23,1,10,0,41,1,0,459,0,0,0,0,0,1,6,23,10,1,0,0,0,0,0,254,0,1,0,1
TUSH,4,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,1,1,0,2,0,0,7,0,0,0,0,0,3,0,0,0,2,1,0,7,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,4,0,0,0,0,0,1,0,3,0,2,0,0,0,0,2,1,1,0,1
UCIM,9,6,1,3,2,3,5,0,2,0,3,26,8,5,1,0,1,5,2,1,0,7,2,0,5,3,2,7,7,1,5,7,26,7,15,0,4,3,59,32,2,39,0,0,2,44,1,29,5,6,1,56,5,4,0,1,17,32,0,4,4,2,5,10,17,0,12,2,9,9,0,7,9,0,2,5.864321608,14,26,12,7,5,0,1,6,2,15,1,14,11,3,12,0,0,9,4,5,0,4,2,14
WAMC,8,41,0,1,0,10,10,2,5,0,9,38,18,64,0,4,0,8,8,0,0,3,2,0,4,9,1,9,7,85,8,5,4,322,80,0,0,2,112,16,0,5,0,0,0,17,0,2,0,1,2,32,0,8,0,0,1,3,0,16,4,3,2,11,3,23,8,126,0,38,0,17,8,0,16,0,2,4,0,8,28,0,0,4,0,76,0,2,0,2,12,0,0,0,0,0,118,118,5,11
WMCA,1,3,0,0,0,0,3,0,0,0,1,5,0,0,0,0,0,0,1,0,0,1,0,0,1,6,0,0,6,1,0,0,0,0,17,0,0,0,21,22,0,2,0,0,0,34,0,1,1,2,1,0,0,0,0,3,30,0,0,0,0,2,0,0,0,64,0,0,0,4,0,5,0,4,0,0,0,1,4,0,0,14,3,5,1,0,0,4,0,3,1,0,0,0,0,0,1,0,4,0
WMCS,4,3,0,0,0,3,3,0,8,0,4,16,0,0,0,0,1,8,0,1,0,15,3,5,4,10,0,14,0,0,0,0,13,2,8,0,0,4,9,2,1,73,0,0,0,20,0,13,0,27,0,0,0,0,2,0,1,33,0,3,0,8,1,1,1,3,0,0,0,16,0,8,11,0,0,0,0,3,39,0,7,2,0,0,0,0,3,59,0,0,0,0,0,0,2,0,1,1,1,15
ACNC,39,4,0,2,0,2,6,0,0,0,0,0,4,0,2,11,0,0,0,0,0,2,11,0,0,0,72,4,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0
AGBP,99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALTA,0,0,0,19,0,5,100,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,50,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ANHC,3,13,0,2,0,0,2,1,0,0,2,16,0,0,0,6,0,1,0,0,0,0,1,0,1,4,158,1,0,2,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,5,1,0
ATCC,13,64,1,2,1,4,1,0,0,1,0,0,0,0,1,3.3,0,2,3,0,0,0,0,0,1,1,43,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
BEAC,0,0,0,7,0,21,0,36,16,0,0,0,1,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BGSJ,0,2.5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,6,0,0,12,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGYL,0,5,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35.5,0,0,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPNC,49,37,0,0,0,1,3,3,0,0,1,1,0,0,4,19,0,1,1,0,0,1,1,0,0,10,106,2,3,2,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
BVCC,14,13,13,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,39,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
CAPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,57,5,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARE,0,25,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,20.4,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CMCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMLH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCT,4,71,0,0,0,0,15,0,3,0,0,0,0,0,0,3.3,0,0,3,0,0,0,1,0,0,22,12,33,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0
COVI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSNC,11,17,1,4,0,33,143,1,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,6,2,28,1,3,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
CVLH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVPL,0,0,0,69,0,10,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,3,0,0,10,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
CVSB,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EDNA,7,22.7,0,13,0,17,93,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,20.4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
ELIZ,0,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
EVER,0,2.5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EXTW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FLAG,0,2.5,0,0,0,4,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,2,0,0,0,0,0,0,0,0
FOCC,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,1,4,0,6,0,14,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
