MRSA-LOS_Abbrev,N,mean_LOS,std_LOS,mean_lnLOS,std_lnLOS,blank1,Dsch_Path_Abbrev,Dsch_ReAd_N,Dsch_Com_N,Dsch_NH_Com_N,Dsch_NH_ReAd_N,Dsch_ReAd_Pct,Dsch_Com_Pct,Dsch_NH_Com_Pct,Dsch_NH_ReAd_Pct,blank2,TimetoRe_Dsch_Read_byH_Abbrev,N,mean_T_Re,std_T_Re,mean_lnT_Re,std_lnT_Re,blank3,NH_disch_Nxt_Src_byH_Abbrev,Readm_fr_NH_N,REadm_fr_Oth_N,Readm_fr_NH_Pct,REadm_fr_Oth_Pct,blank4,TimetoRe_Dsch_NH_byH_Abbrev,N,mean_T_Re,std_T_Re,mean_lnT_Re,std_lnT_Re,blank5,LTC_tag,blank6,Comm_vs_NH-NH,blank7,MRSA+_LOS_Abbrev,N,mean_LOS,std_LOS,mean_lnLOS,std_lnLOS
MANO,151,365,0,0,0,,MANO,0,0,0,0,0,0,0,0,,MANO,0,0,0,0,0,,MANO,0,0,0,0,,MANO,0,0,0,0,0,,1,,0.933287002,,MANO,0,0,0,0,0
MESA,80,365,0,0,0,,MESA,0,0,0,0,0,0,0,0,,MESA,0,0,0,0,0,,MESA,0,0,0,0,,MESA,0,0,0,0,0,,1,,0.918264415,,MESA,0,0,0,0,0
NEWO,145,365,0,0,0,,NEWO,0,0,0,0,0,0,0,0,,NEWO,0,0,0,0,0,,NEWO,0,0,0,0,,NEWO,0,0,0,0,0,,1,,0.930506,,NEWO,0,0,0,0,0
NNRC,59,365,0,0,0,,NNRC,0,0,0,0,0,0,0,0,,NNRC,0,0,0,0,0,,NNRC,0,0,0,0,,NNRC,0,0,0,0,0,,1,,0.989367866,,NNRC,0,0,0,0,0
NSUB,137,365,0,0,0,,NSUB,0,0,0,0,0,0,0,0,,NSUB,0,0,0,0,0,,NSUB,0,0,0,0,,NSUB,0,0,0,0,0,,1,,0.737284943,,NSUB,0,0,0,0,0
ORRH,97,365,0,0,0,,ORRH,0,0,0,0,0,0,0,0,,ORRH,0,0,0,0,0,,ORRH,0,0,0,0,,ORRH,0,0,0,0,0,,1,,0.951676984,,ORRH,0,0,0,0,0
PACI,99,365,0,0,0,,PACI,0,0,0,0,0,0,0,0,,PACI,0,0,0,0,0,,PACI,0,0,0,0,,PACI,0,0,0,0,0,,1,,0.89818052,,PACI,0,0,0,0,0
PALM,99,365,0,0,0,,PALM,0,0,0,0,0,0,0,0,,PALM,0,0,0,0,0,,PALM,0,0,0,0,,PALM,0,0,0,0,0,,1,,0.976700969,,PALM,0,0,0,0,0
PANA,115,365,0,0,0,,PANA,0,0,0,0,0,0,0,0,,PANA,0,0,0,0,0,,PANA,0,0,0,0,,PANA,0,0,0,0,0,,1,,0.711129522,,PANA,0,0,0,0,0
PKVW,41,365,0,0,0,,PKVW,0,0,0,0,0,0,0,0,,PKVW,0,0,0,0,0,,PKVW,0,0,0,0,,PKVW,0,0,0,0,0,,1,,0.109597787,,PKVW,0,0,0,0,0
PREG,99,365,0,0,0,,PREG,0,0,0,0,0,0,0,0,,PREG,0,0,0,0,0,,PREG,0,0,0,0,,PREG,0,0,0,0,0,,1,,0.76192102,,PREG,0,0,0,0,0
